2017-08-01	normal	294	14955
2017-08-01	fire	272	14303
2017-08-01	water	286	20661
2017-08-01	electric	307	31112
2017-08-01	grass	291	23966
2017-08-01	ice	217	10905
2017-08-01	fighting	242	20313
2017-08-01	poison	277	22336
2017-08-01	ground	262	19723
2017-08-01	flying	302	22693
2017-08-01	psychic	274	19259
2017-08-01	bug	272	23234
2017-08-01	rock	253	16743
2017-08-01	ghost	239	12216
2017-08-01	dragon	232	14038
2017-08-01	dark	259	14349
2017-08-01	steel	229	19142
2017-08-01	fairy	258	21302
2017-09-01	normal	330	25553
2017-09-01	fire	270	13986
2017-09-01	water	283	24268
2017-09-01	electric	246	14886
2017-09-01	grass	283	15058
2017-09-01	ice	225	10604
2017-09-01	fighting	219	12132
2017-09-01	poison	245	18511
2017-09-01	ground	218	9568
2017-09-01	flying	284	16528
2017-09-01	psychic	282	14708
2017-09-01	bug	237	13276
2017-09-01	rock	198	10964
2017-09-01	ghost	246	13354
2017-09-01	dragon	223	12930
2017-09-01	dark	214	9138
2017-09-01	steel	188	9453
2017-09-01	fairy	271	16162
2017-10-01	normal	296	16336
2017-10-01	fire	259	11642
2017-10-01	water	260	20264
2017-10-01	electric	239	18010
2017-10-01	grass	242	13749
2017-10-01	ice	210	8700
2017-10-01	fighting	216	12810
2017-10-01	poison	209	13825
2017-10-01	ground	192	8218
2017-10-01	flying	273	15170
2017-10-01	psychic	238	13520
2017-10-01	bug	252	19700
2017-10-01	rock	240	12456
2017-10-01	ghost	219	10355
2017-10-01	dragon	178	12407
2017-10-01	dark	229	15574
2017-10-01	steel	209	8176
2017-10-01	fairy	229	15240
2017-11-01	normal	385	129299
2017-11-01	fire	329	94601
2017-11-01	water	342	83822
2017-11-01	electric	316	76865
2017-11-01	grass	369	126077
2017-11-01	ice	298	113482
2017-11-01	fighting	267	72962
2017-11-01	poison	340	93400
2017-11-01	ground	339	87702
2017-11-01	flying	377	130796
2017-11-01	psychic	333	92622
2017-11-01	bug	328	94684
2017-11-01	rock	324	103941
2017-11-01	ghost	349	109545
2017-11-01	dragon	312	124200
2017-11-01	dark	387	164083
2017-11-01	steel	314	96172
2017-11-01	fairy	312	95757
2017-12-01	normal	315	111076
2017-12-01	fire	305	128926
2017-12-01	water	346	113166
2017-12-01	electric	297	100578
2017-12-01	grass	351	153458
2017-12-01	ice	292	90565
2017-12-01	fighting	262	68778
2017-12-01	poison	306	115545
2017-12-01	ground	282	74111
2017-12-01	flying	301	87584
2017-12-01	psychic	309	86199
2017-12-01	bug	361	119352
2017-12-01	rock	298	115768
2017-12-01	ghost	317	151821
2017-12-01	dragon	294	146783
2017-12-01	dark	271	90941
2017-12-01	steel	258	75709
2017-12-01	fairy	299	83437
2018-01-01	normal	267	118806
2018-01-01	fire	279	128395
2018-01-01	water	238	113454
2018-01-01	electric	237	103698
2018-01-01	grass	298	110274
2018-01-01	ice	270	114436
2018-01-01	fighting	237	91865
2018-01-01	poison	260	106247
2018-01-01	ground	240	90528
2018-01-01	flying	286	102512
2018-01-01	psychic	263	124696
2018-01-01	bug	274	111404
2018-01-01	rock	232	90696
2018-01-01	ghost	245	120180
2018-01-01	dragon	248	94845
2018-01-01	dark	276	148343
2018-01-01	steel	220	113450
2018-01-01	fairy	260	95865
2018-02-01	normal	307	144376
2018-02-01	fire	288	122789
2018-02-01	water	295	113128
2018-02-01	electric	245	84528
2018-02-01	grass	268	86007
2018-02-01	ice	258	123293
2018-02-01	fighting	231	78018
2018-02-01	poison	268	76938
2018-02-01	ground	274	104924
2018-02-01	flying	306	103165
2018-02-01	psychic	287	103414
2018-02-01	bug	314	151967
2018-02-01	rock	256	108790
2018-02-01	ghost	283	129127
2018-02-01	dragon	265	138386
2018-02-01	dark	277	109008
2018-02-01	steel	262	100658
2018-02-01	fairy	251	87660
2018-03-01	normal	281	128919
2018-03-01	fire	284	165605
2018-03-01	water	277	146503
2018-03-01	electric	232	89026
2018-03-01	grass	274	141676
2018-03-01	ice	229	135532
2018-03-01	fighting	261	107441
2018-03-01	poison	258	117845
2018-03-01	ground	228	91357
2018-03-01	flying	262	102683
2018-03-01	psychic	275	123267
2018-03-01	bug	291	138460
2018-03-01	rock	215	122737
2018-03-01	ghost	284	171638
2018-03-01	dragon	236	139301
2018-03-01	dark	264	121230
2018-03-01	steel	230	102781
2018-03-01	fairy	262	127410
2018-04-01	normal	293	143080
2018-04-01	fire	244	124466
2018-04-01	water	254	115774
2018-04-01	electric	221	93439
2018-04-01	grass	222	103966
2018-04-01	ice	242	115433
2018-04-01	fighting	246	113749
2018-04-01	poison	260	112641
2018-04-01	ground	190	74754
2018-04-01	flying	287	126342
2018-04-01	psychic	251	120748
2018-04-01	bug	234	87566
2018-04-01	rock	196	95772
2018-04-01	ghost	219	99702
2018-04-01	dragon	215	116233
2018-04-01	dark	196	103992
2018-04-01	steel	203	82055
2018-04-01	fairy	236	121781
2018-05-01	normal	256	107472
2018-05-01	fire	214	99845
2018-05-01	water	244	101684
2018-05-01	electric	221	94798
2018-05-01	grass	256	134637
2018-05-01	ice	219	108370
2018-05-01	fighting	195	77488
2018-05-01	poison	202	86235
2018-05-01	ground	220	102641
2018-05-01	flying	228	86659
2018-05-01	psychic	240	118538
2018-05-01	bug	222	113243
2018-05-01	rock	238	99576
2018-05-01	ghost	219	96345
2018-05-01	dragon	210	110948
2018-05-01	dark	209	151155
2018-05-01	steel	185	100536
2018-05-01	fairy	222	83102
2018-06-01	normal	229	90503
2018-06-01	fire	249	109260
2018-06-01	water	208	83659
2018-06-01	electric	230	89374
2018-06-01	grass	232	88513
2018-06-01	ice	193	101170
2018-06-01	fighting	183	63636
2018-06-01	poison	217	88747
2018-06-01	ground	185	99314
2018-06-01	flying	221	127189
2018-06-01	psychic	227	90293
2018-06-01	bug	206	85695
2018-06-01	rock	189	70316
2018-06-01	ghost	180	82016
2018-06-01	dragon	178	129410
2018-06-01	dark	216	86314
2018-06-01	steel	202	116633
2018-06-01	fairy	228	79421
2018-07-01	normal	230	140407
2018-07-01	fire	237	108607
2018-07-01	water	212	72457
2018-07-01	electric	215	74480
2018-07-01	grass	218	101261
2018-07-01	ice	202	164187
2018-07-01	fighting	174	76378
2018-07-01	poison	189	82162
2018-07-01	ground	190	111383
2018-07-01	flying	196	81569
2018-07-01	psychic	197	67609
2018-07-01	bug	184	56238
2018-07-01	rock	215	82425
2018-07-01	ghost	224	82856
2018-07-01	dragon	200	104957
2018-07-01	dark	200	81161
2018-07-01	steel	172	69858
2018-07-01	fairy	197	65923
2018-08-01	normal	215	121857
2018-08-01	fire	198	89954
2018-08-01	water	225	148996
2018-08-01	electric	201	132168
2018-08-01	grass	186	91165
2018-08-01	ice	171	83410
2018-08-01	fighting	175	103168
2018-08-01	poison	202	110917
2018-08-01	ground	185	113833
2018-08-01	flying	215	112877
2018-08-01	psychic	196	133936
2018-08-01	bug	189	69442
2018-08-01	rock	190	93143
2018-08-01	ghost	187	105665
2018-08-01	dragon	169	111871
2018-08-01	dark	202	97931
2018-08-01	steel	164	83647
2018-08-01	fairy	177	67941
2018-09-01	normal	207	143166
2018-09-01	fire	207	103039
2018-09-01	water	222	100007
2018-09-01	electric	186	80995
2018-09-01	grass	201	80083
2018-09-01	ice	171	81802
2018-09-01	fighting	176	68711
2018-09-01	poison	187	79555
2018-09-01	ground	178	86197
2018-09-01	flying	209	103854
2018-09-01	psychic	201	81586
2018-09-01	bug	204	85953
2018-09-01	rock	195	107925
2018-09-01	ghost	202	104860
2018-09-01	dragon	181	101094
2018-09-01	dark	218	91559
2018-09-01	steel	191	142285
2018-09-01	fairy	195	87453
2018-10-01	normal	204	90075
2018-10-01	fire	219	97574
2018-10-01	water	186	74592
2018-10-01	electric	183	82117
2018-10-01	grass	199	103721
2018-10-01	ice	152	68824
2018-10-01	fighting	157	54684
2018-10-01	poison	184	74759
2018-10-01	ground	190	89049
2018-10-01	flying	165	62300
2018-10-01	psychic	187	74942
2018-10-01	bug	158	69423
2018-10-01	rock	170	82543
2018-10-01	ghost	167	70419
2018-10-01	dragon	156	73501
2018-10-01	dark	197	114062
2018-10-01	steel	149	57065
2018-10-01	fairy	170	73286
2018-11-01	normal	189	86037
2018-11-01	fire	206	78994
2018-11-01	water	205	86419
2018-11-01	electric	164	58789
2018-11-01	grass	151	70662
2018-11-01	ice	150	63514
2018-11-01	fighting	161	50520
2018-11-01	poison	179	64910
2018-11-01	ground	184	74406
2018-11-01	flying	178	67897
2018-11-01	psychic	160	67358
2018-11-01	bug	186	92872
2018-11-01	rock	171	108735
2018-11-01	ghost	188	97055
2018-11-01	dragon	182	114091
2018-11-01	dark	180	94789
2018-11-01	steel	179	66690
2018-11-01	fairy	164	52031
2018-12-01	normal	203	106484
2018-12-01	fire	205	75032
2018-12-01	water	211	94028
2018-12-01	electric	206	82646
2018-12-01	grass	199	90124
2018-12-01	ice	168	70671
2018-12-01	fighting	135	38843
2018-12-01	poison	157	60499
2018-12-01	ground	162	60009
2018-12-01	flying	196	88923
2018-12-01	psychic	200	69566
2018-12-01	bug	214	88882
2018-12-01	rock	172	128166
2018-12-01	ghost	175	74592
2018-12-01	dragon	178	95858
2018-12-01	dark	200	99060
2018-12-01	steel	168	126050
2018-12-01	fairy	173	64072
2019-01-01	normal	194	107176
2019-01-01	fire	198	85777
2019-01-01	water	220	136039
2019-01-01	electric	160	72178
2019-01-01	grass	180	88898
2019-01-01	ice	198	131498
2019-01-01	fighting	135	47539
2019-01-01	poison	183	91149
2019-01-01	ground	153	75571
2019-01-01	flying	186	81987
2019-01-01	psychic	194	88309
2019-01-01	bug	195	95802
2019-01-01	rock	160	82893
2019-01-01	ghost	167	73684
2019-01-01	dragon	169	102688
2019-01-01	dark	186	83781
2019-01-01	steel	153	86494
2019-01-01	fairy	172	66951
2019-02-01	normal	236	102562
2019-02-01	fire	213	132541
2019-02-01	water	216	76163
2019-02-01	electric	228	113509
2019-02-01	grass	220	85751
2019-02-01	ice	181	87054
2019-02-01	fighting	209	79553
2019-02-01	poison	194	70086
2019-02-01	ground	182	92002
2019-02-01	flying	219	99009
2019-02-01	psychic	190	71857
2019-02-01	bug	201	77595
2019-02-01	rock	206	96732
2019-02-01	ghost	168	52609
2019-02-01	dragon	184	144001
2019-02-01	dark	218	95925
2019-02-01	steel	175	75018
2019-02-01	fairy	188	71291
2019-03-01	normal	219	198642
2019-03-01	fire	210	108885
2019-03-01	water	197	103569
2019-03-01	electric	173	64074
2019-03-01	grass	218	102633
2019-03-01	ice	170	95888
2019-03-01	fighting	171	68235
2019-03-01	poison	197	81760
2019-03-01	ground	167	83517
2019-03-01	flying	185	74605
2019-03-01	psychic	214	119713
2019-03-01	bug	174	103805
2019-03-01	rock	175	121067
2019-03-01	ghost	170	77360
2019-03-01	dragon	161	113798
2019-03-01	dark	188	107172
2019-03-01	steel	165	84150
